 it                                       1 2135560 N         
 lettuce                                  6443 441 N         
 persuaded                                6444 1506 V         
 fisherman                                6445 611 N         
 scampering                               6446 171 V         
 seaside                                  6447 264 N         
 gossamer                                 6448 153 NA        
 pattern                                  6449 5775 NV        
 shipped                                  6450 651 V         
 cluttered                                6451 534 VA        
 fishermans                               6452 146 p         
 secluded                                 6453 389 VA        
 stripped                                 6454 2061 VA        
 shorts                                   6455 1736 NV        
 sabotage                                 6456 597 NV        
 referred                                 6457 1945 V         
 decoy                                    6458 233 NV        
 flicker                                  6459 1382 NV        
 applying                                 6460 828 V         
 preceded                                 6461 655 V         
 thump                                    6462 1226 NV        
 tiptoeing                                6463 154 V         
 touched                                  6464 12833 VA        
 flipped                                  6465 2920 V         
 carpeted                                 6466 512 VA        
 shrug                                    6467 1772 NV        
 disorder                                 6468 1347 NV        
 cloak                                    6469 5092 NV        
 dagger                                   6470 4112 N         
 moreover                                 6471 2682 v         
 separately                               6472 845 v         
 energetic                                6473 711 A         
 relatives                                6474 2547 p         
 kidnapping                               6475 803 NV        
 unfolded                                 6476 1191 V         
 estimation                               6477 262 N         
 pinpoint                                 6478 475 NV        
 verge                                    6479 1349 NV        
 calculations                             6480 1139 p         
 complicated                              6481 5011 VA        
 venus                                    6482 991 N         
 star                                     6483 9895 NVA       
 indicates                                6484 669 V         
 crescent                                 6485 887 NA        
 eastern                                  6486 3209 A         
 elongation                               6487 10 N         
 motions                                  6488 1351 pV        
 phases                                   6489 370 pV        
 recurring                                6490 338 VA        
 deadline                                 6491 527 N         
 phase                                    6492 1702 NV        
 august                                   6493 2610 NA        
 hatching                                 6494 138 NV        
 rendezvous                               6495 548 NV        
 handwriting                              6496 939 NV        
 saucer                                   6497 632 N         
 maxs                                     6498 981 p         
 watercress                               6499 38 NA        
 munched                                  6500 123 V         
 listed                                   6501 1434 VA        
 beheld                                   6502 464 V         
 luscious                                 6503 182 A         
 frosting                                 6504 220 NV        
 taste                                    6505 7872 NV        
 gob                                      6506 104 N         
 eaten                                    6507 4332 V         
 gobs                                     6508 114 N         
 bartlett                                 6509 213 N         
 licking                                  6510 860 NV        
 wider                                    6511 2144 A         
 groove                                   6512 365 NV        
 eagerness                                6513 720 N         
 daubed                                   6514 87 V         
 surveyed                                 6515 1082 V         
 paths                                    6516 2188 p         
 unloaded                                 6517 421 VA        
 employees                                6518 2222 p         
 vinyl                                    6519 314 N         
 phonograph                               6520 185 N         
 generator                                6521 472 N         
 exertion                                 6522 571 N         
 flap                                     6523 1106 NV        
 rank                                     6524 2888 NVA       
 samples                                  6525 994 pV        
 sunlit                                   6526 282 A         
 limestone                                6527 436 N         
 twitter                                  6528 134 NV        
 orioles                                  6529 44 p         
 glittering                               6530 1724 VA        
 tensing                                  6531 129 V         
 engulfing                                6532 176 V         
 toppling                                 6533 299 V         
 shattering                               6534 994 NVA       
 spinning                                 6535 3517 NV        
 deposits                                 6536 340 pV        
 armchair                                 6537 834 N         
 marine                                   6538 1970 NA        
 dissimilar                               6539 151 A         
 disk                                     6540 1124 NV        
 player                                   6541 3456 N         
 warped                                   6542 593 VA        
 collisions                               6543 286 p         
 snuffed                                  6544 255 V         
 beginnings                               6545 709 p         
 ache                                     6546 1897 NV        
 delivered                                6547 3642 V         
 burdened                                 6548 358 VA        
 lovely                                   6549 5695 NA        
 pecans                                   6550 38 p         
 marshmallow                              6551 154 N         
 cobblestone                              6552 212 NV        
 sweaters                                 6553 360 p         
 lounged                                  6554 179 V         
 drizzle                                  6555 502 NV        
 heater                                   6556 408 N         
 sensation                                6557 3506 N         
 draughts                                 6558 88 NV        
 carbon                                   6559 1510 N         
 monoxide                                 6560 99 N         
 clogged                                  6561 409 VA        
 exhaust                                  6562 629 NV        
 numerous                                 6563 2652 A         
 heaps                                    6564 666 NVv       
 rusted                                   6565 718 VA        
 piping                                   6566 293 NVVv      
 automobiles                              6567 433 pV        
 chalk                                    6568 1154 NV        
 wiring                                   6569 355 NV        
 scuffle                                  6570 230 NV        
 bats                                     6571 1148 pVA       
 coded                                    6572 400 V        
 graver                                   6573 72 NA        
 troy                                     6574 522 N         
 attacking                                6575 1609 VA        
 greeks                                   6576 952 p         
 soldiers                                 6577 14271 pV        
 scenes                                   6578 2225 p         
 drums                                    6579 1107 pV        
 dilapidated                              6580 278 VA        
 unhitched                                6581 48 V         
 barge                                    6582 649 NV        
 loads                                    6583 651 NV        
 increased                                6584 3884 VA        
 forever                                  6585 11062 v         
 crafts                                   6586 293 pV        
 currents                                 6587 1113 p         
 diving                                   6588 1227 NV        
 fan                                      6589 2634 NV        
 saving                                   6590 3110 NVA       
 tides                                    6591 770 pV        
 occupants                                6592 606 p         
 pike                                     6593 381 N         
 expressed                                6594 2938 VA        
 problem                                  6595 26869 N         
 kidnappers                               6596 438 p         
 scuttled                                 6597 550 V         
 aunts                                    6598 1111 p         
 health                                   6599 8069 N!        
 bermuda                                  6600 232 N         
 surfboard                                6601 74 NV        
 mattress                                 6602 1891 N         
 threat                                   6603 6161 N         
 brandishing                              6604 303 V         
 strategic                                6605 1267 A         
 withdrawal                               6606 699 N         
 cash                                     6607 4767 NV        
 impress                                  6608 1366 NV        
 onion                                    6609 575 N         
 staged                                   6610 385 VVA       
 amidst                                   6611 594 P         
 limits                                   6612 3224 pV        
 wallet                                   6613 1792 N         
 register                                 6614 1817 NV        
 luggage                                  6615 1586 N         
 knit                                     6616 742 NV        
 booster                                  6617 158 N         
 cylinder                                 6618 857 N         
 chancellor                               6619 829 N         
 luxurious                                6620 571 A         
 sale                                     6621 2349 N         
 purchase                                 6622 1864 NV        
 cents                                    6623 1078 p         
 traded                                   6624 906 V         
 punched                                  6625 2102 V         
 holes                                    6626 4848 pV        
 discomfort                               6627 1418 N         
 rigid                                    6628 1675 A         
 luminous                                 6629 839 A         
 sputtered                                6630 473 V         
 attended                                 6631 2397 VA        
 mission                                  6632 6755 N         
 imposed                                  6633 1124 VA        
 estimate                                 6634 1249 NV        
 rattling                                 6635 1281 NVAv      
 bounce                                   6636 1011 NV        
 grimaced                                 6637 826 V         
 downhill                                 6638 876 NAv       
 descent                                  6639 1549 N         
 inserted                                 6640 932 V         
 scrape                                   6641 1027 NV        
 raising                                  6642 4540 NVA       
 cased                                    6643 49 VA        
 pegged                                   6644 192 V         
 traction                                 6645 218 N         
 farming                                  6646 894 NVA       
 puzzles                                  6647 631 pV        
 odor                                     6648 1549 N         
 explosive                                6649 1078 NA        
 powder                                   6650 2222 NV        
 launch                                   6651 1951 NV        
 mossy                                    6652 307 A         
 projections                              6653 244 p         
 nudge                                    6654 876 NV        
 belligerent                              6655 270 NA        
 newly                                    6656 2047 v         
 chipped                                  6657 578 V         
 hollows                                  6658 347 pV        
 peephole                                 6659 163 N         
 newspaper                                6660 5779 N         
 oddly                                    6661 2232 v         
 designed                                 6662 4787 VA        
 mortar                                   6663 975 NV        
 stacks                                   6664 995 NV        
 lighter                                  6665 2133 NVA       
 sanding                                  6666 42 V         
 workman                                  6667 256 N         
 spraying                                 6668 552 NV        
 evoked                                   6669 366 VA        
 cinches                                  6670 11 pV        
 garbled                                  6671 194 VA        
 narrower                                 6672 418 A         
 unbind                                   6673 26 V         
 remove                                   6674 3746 NV        
 cough                                    6675 1679 NV        
 causes                                   6676 3561 pV        
 inconvenience                            6677 583 NV        
 cops                                     6678 3994 pV        
 transport                                6679 1641 NV        
 reddish                                  6680 819 A         
 compounds                                6681 379 pV        
 diverting                                6682 172 VA        
 reserve                                  6683 1581 NV        
 treatment                                6684 4187 N         
 alcove                                   6685 679 N         
 orange                                   6686 5748 NA        
 nozzles                                  6687 57 p         
 meters                                   6688 1516 pV        
 chemical                                 6689 2048 NA        
 symbols                                  6690 1571 p         
 incoming                                 6691 656 NA        
 oceanside                                6692 29 N         
 conveniently                             6693 431 v         
 therefore                                6694 12245 v         
 prowling                                 6695 372 V         
 uncooperative                            6696 102 A         
 sharing                                  6697 2677 NVA       
 conceived                                6698 1084 V         
 ingenious                                6699 583 A         
 considerably                             6700 1527 v         
 rust                                     6701 1035 NVA       
 char                                     6702 118 NV        
 coatings                                 6703 15 p         
 tonights                                 6704 317 p         
 impending                                6705 663 VA        
 difficulties                             6706 1978 p         
 signals                                  6707 1813 pV        
 identifiable                             6708 205 A         
 elsewhere                                6709 3687 v         
 united                                   6710 14887 VA        
 states                                   6711 19967 pV        
 subversive                               6712 210 NA        
 illustrious                              6713 230 A         
 geezer                                   6714 132 N         
 autos                                    6715 36 p         
 winked                                   6716 1499 V         
 creeps                                   6717 624 NV        
 consoled                                 6718 262 V         
 oxygen                                   6719 2248 N         
 poisonous                                6720 822 A         
 joint                                    6721 2438 NVA       
 coughing                                 6722 1583 NV        
 painting                                 6723 4208 NV        
 sander                                   6724 38 N         
 wincing                                  6725 570 V         
 smoked                                   6726 1867 VA        
 pilots                                   6727 1517 pV        
 coils                                    6728 487 pV        
 equally                                  6729 4703 v         
 docked                                   6730 226 V         
 undetected                               6731 225 A         
 ominously                                6732 432 v         
 routes                                   6733 877 pVV       
 connects                                 6734 278 V         
 ramp                                     6735 1439 NV        
 boatman                                  6736 146 N         
 midriff                                  6737 103 N         
 sirens                                   6738 954 p         
 swarmed                                  6739 692 V         
 sloshed                                  6740 271 VA        
 algae                                    6741 257 N         
 perished                                 6742 605 V         
 coastline                                6743 326 N         
 streak                                   6744 1135 NV        
 moss                                     6745 1452 N         
 treading                                 6746 360 V         
 skies                                    6747 1381 pVV       
 challenged                               6748 1324 V         
 thanksgiving                             6749 1459 N         
 feast                                    6750 1742 NV        
 ancestors                                6751 2121 p         
 menu                                     6752 1274 N         
 beaches                                  6753 602 pV        
 gadget                                   6754 243 N         
 grandfather                              6755 8620 N         
 freighter                                6756 290 N         
 sunk                                     6757 1424 A         
 skeptically                              6758 203 v         
 enthusiastic                             6759 1246 A         
 destined                                 6760 1100 VA        
 dossier                                  6761 179 N         
 erecting                                 6762 101 NV        
 radar                                    6763 1642 N         
 security                                 6764 11637 N         
 gigantic                                 6765 1340 A         
 installation                             6766 211 N         
 america                                  6767 13093 N         
 unexplained                              6768 239 A         
 reorganize                               6769 79 V         
 nip                                      6770 332 NV        
 bud                                      6771 805 NV        
 material                                 6772 6292 NA        
 rumbled                                  6773 1283 V         
 tomfoolery                               6774 23 N         
 mock                                     6775 1368 NVA       
 seriousness                              6776 645 N         
 coin                                     6777 3879 NV        
 hundreds                                 6778 7374 p         
 metallic                                 6779 1326 NA        
 detector                                 6780 577 N         
 greatest                                 6781 6750 A        
 honeycomb                                6782 125 NV        
 toy                                      6783 2210 NV        
 crumbling                                6784 1151 V         
 ships                                    6785 7111 pV        
 reluctant                                6786 2077 A         
 staunch                                  6787 194 VA        
 invaluable                               6788 467 A         
 ally                                     6789 1249 NV        
 wavy                                     6790 582 A         
 jet                                      6791 2478 NVA       
 gait                                     6792 501 N         
 sad                                      6793 9436 A         
 laura                                    6794 2230 N         
 mary                                     6795 9386 N         
 todd                                     6796 1722 N         
 sobbed                                   6797 883 V         
 george                                   6798 10850 N         
 redding                                  6799 20 N         
 crying                                   6800 8530 NVA       
 morgan                                   6801 2122 N         
 political                                6802 13719 A         
 methods                                  6803 2672 p         
 nation                                   6804 6482 N         
 unfriendly                               6805 448 A         
 undertake                                6806 673 V         
 forgive                                  6807 4433 V         
 crybaby                                  6808 47 N         
 snapshot                                 6809 386 N         
 purse                                    6810 2866 NV        
 bid                                      6811 1203 NV        
 greetings                                6812 526 p         
 engage                                   6813 1807 V         
 camaraderie                              6814 323 N         
 menfolk                                  6815 42 p         
 demonstrated                             6816 1253 VA        
 ability                                  6817 8557 N         
 avocation                                6818 38 N         
 preferred                                6819 3411 VA        
 bordered                                 6820 568 VA        
 mesh                                     6821 694 NV        
 badge                                    6822 1001 NV        
 pioneers                                 6823 256 pV        
 summit                                   6824 1218 NV        
 felled                                   6825 351 V         
 girders                                  6826 113 p         
 corps                                    6827 1577 N         
 watchmen                                 6828 482 p         
 patrolled                                6829 266 V         
 percent                                  6830 2943 N         
 efficiently                              6831 723 v         
 staff                                    6832 9633 NV        
 waist                                    6833 4881 N         
 electrify                                6834 14 V         
 panther                                  6835 618 N         
 plucked                                  6836 1421 VA        
 triumphantly                             6837 538 v         
 import                                   6838 591 NV        
 voted                                    6839 968 V         
 associates                               6840 979 pV        
 capable                                  6841 5731 A         
 consisting                               6842 462 V         
 crested                                  6843 342 VA        
 swerve                                   6844 169 NV        
 crane                                    6845 622 NV        
 topple                                   6846 343 V         
 shuddered                                6847 1926 V         
 trailer                                  6848 1656 N         
 upturned                                 6849 461 A         
 thumbs                                   6850 1090 pV        
 unwieldy                                 6851 162 A         
 rig                                      6852 963 NV        
 coupling                                 6853 206 NV        
 investigators                            6854 963 p         
 reduced                                  6855 2743 VA        
 motels                                   6856 184 p         
 billboard                                6857 265 N         
 court                                    6858 11285 NV        
 traveler                                 6859 872 N         
 luxuries                                 6860 313 p         
 units                                    6861 1904 p         
 ubiquitous                               6862 378 A         
 corny                                    6863 150 A         
 evaded                                   6864 243 V         
 registered                               6865 1280 VA        
 proffered                                6866 238 V         
 unit                                     6867 3442 N         
 basement                                 6868 3706 N         
 regarding                                6869 2022 V         
 absent                                   6870 1451 VA        
 nope                                     6871 337 v         
 comment                                  6872 3168 NV        
 dean                                     6873 2953 N         
 administration                           6874 3247 N         
 marble                                   6875 3471 NV        
 lobby                                    6876 3203 NV        
 deans                                    6877 328 p         
 official                                 6878 5479 NA        
 circumstances                            6879 7952 N         
 meaningful                               6880 1383 A         
 educator                                 6881 85 N         
 jotted                                   6882 284 V         
 quadrangle                               6883 72 N         
 graduate                                 6884 1441 NVA       
 instructors                              6885 530 p         
 session                                  6886 2334 N         
 imitating                                6887 283 V         
 bouncy                                   6888 116 A         
 sporty                                   6889 52 A         
 quill                                    6890 654 N         
 married                                  6891 13624 NVA       
 confided                                 6892 782 V         
 marry                                    6893 5419 Vt!       
 teased                                   6894 1443 VA        
 inn                                      6895 3608 N         
 campus                                   6896 1735 N         
 arguing                                  6897 2411 NV        
 couples                                  6898 1412 pV        
 managers                                 6899 1003 p         
 bungalow                                 6900 512 N         
 stroking                                 6901 839 NV        
 costs                                    6902 2740 NV        
 stocky                                   6903 478 A         
 masked                                   6904 1268 VA        
 furiously                                6905 1597 v         
 combined                                 6906 2169 VA        
 crosswise                                6907 80 Av        
 quintet                                  6908 18 N         
 tugged                                   6909 2398 V         
 beads                                    6910 1218 NV        
 foreheads                                6911 252 p         
 ominous                                  6912 1258 A         
 diesel                                   6913 395 N         
 locomotive                               6914 258 NA        
 unscathed                                6915 293 A         
 spike                                    6916 891 NV        
 freeing                                  6917 404 NV        
 tender                                   6918 2172 NVA       
 clenched                                 6919 2960 VA        
 nut                                      6920 859 NV        
 joker                                    6921 222 N         
 mix                                      6922 2604 NV        
 beeline                                  6923 150 N         
 baldy                                    6924 119 N         
 sleepy                                   6925 1460 A         
 determination                            6926 2201 N         
 delta                                    6927 733 N         
 sigma                                    6928 97 N         
 fraternity                               6929 375 N         
 hale                                     6930 369 NVA       
 yawn                                     6931 685 NV        
 class                                    6932 13723 NV        
 sternly                                  6933 874 v         
 padded                                   6934 1316 VA        
 pledges                                  6935 153 pV        
 biceps                                   6936 230 N         
 fleeting                                 6937 804 VA        
 honor                                    6938 7426 NV        
 prospective                              6939 448 A         
 morpheus                                 6940 18 N         
 concentrated                             6941 2120 VA        
 textbooks                                6942 373 p         
 sucking                                  6943 1549 NV        
 exam                                     6944 989 N         
 super                                    6945 1687 AN!       
 vision                                   6946 8350 N         
 riddle                                   6947 1181 NV        
 enjoying                                 6948 2986 V         
 spells                                   6949 3392 pV        
 roved                                    6950 90 V         
 slapping                                 6951 990 V         
 discovers                                6952 279 V         
 cafeteria                                6953 1113 N         
 outskirts                                6954 581 N         
 cottage                                  6955 2373 N         
 bedspread                                6956 256 N         
 undress                                  6957 303 NV        
 soundly                                  6958 427 v         
 nightmare                                6959 3586 N         
 pillow                                   6960 3311 NV        
 wounded                                  6961 5423 NVA       
 dipped                                   6962 1638 VA        
 munching                                 6963 212 V         
 lawns                                    6964 468 p         
 politely                                 6965 2036 v         
 pained                                   6966 917 VA        
 lowdown                                  6967 35 N         
 postal                                   6968 402 A         
 pages                                    6969 6044 pV        
 stymied                                  6970 130 V        
 instructor                               6971 818 N         
 strongly                                 6972 2759 v         
 stiffen                                  6973 250 V         
 lecture                                  6974 1811 NV        
 clipped                                  6975 954 VA        
 belongings                               6976 1026 N         
 mileage                                  6977 135 N         
 cryptic                                  6978 349 A         
 fraternities                             6979 40 p         
 speedometer                              6980 142 N         
 maximum                                  6981 1363 NA        
 countryside                              6982 1707 N         
 turnpike                                 6983 160 N         
 spelled                                  6984 550 V         
 tuned                                    6985 658 V         
 roadside                                 6986 582 N         
 restaurant                               6987 5526 N         
 countrys                                 6988 1169 p         
 powered                                  6989 870 VA        
 accelerator                              6990 462 N         
 volume                                   6991 2855 N         
 weaken                                   6992 530 V         
 electronic                               6993 1484 A         
 agrees                                   6994 581 V         
 reliable                                 6995 1777 A         
 agency                                   6996 3170 N         
 roster                                   6997 260 N         
 tour                                     6998 4398 NV        
 opposing                                 6999 827 VA        
 views                                    7000 3440 pV        
 encouraged                               7001 2529 VA        
 quarrel                                  7002 1139 NV        
 pamphlet                                 7003 334 N         
 fits                                     7004 1541 pV        
 whisked                                  7005 412 V         
 gleaned                                  7006 200 V         
 foe                                      7007 1549 N         
 aspects                                  7008 2108 p         
 wedge                                    7009 799 NV        
 coffee                                   7010 12041 N         
 mom                                      7011 21172 N         
 generous                                 7012 2606 A         
 definite                                 7013 1946 A         
 risks                                    7014 2278 pV        
 kissing                                  7015 2548 NV        
 approve                                  7016 1310 V         
 antique                                  7017 1009 NVA       
 toad                                     7018 677 N         
 bargain                                  7019 1779 NV        
 tenting                                  7020 24 NV        
 forgotten                                7021 9163 A         
 forefinger                               7022 857 N         
 roller                                   7023 681 N         
 coaster                                  7024 472 N         
 proportions                              7025 720 pV        
 palisades                                7026 93 pV        
 lanes                                    7027 860 p         
 luncheon                                 7028 403 N         
 patrons                                  7029 781 p         
 tacked                                   7030 354 V         
 ritzy                                    7031 29 A         
 selection                                7032 3128 N         
 antiques                                 7033 335 pV        
 inspect                                  7034 848 V         
 salesclerk                               7035 32 N         
 supporting                               7036 1756 NVA       
 whirl                                    7037 465 NV        
 pronounced                               7038 1279 VA        
 accent                                   7039 2636 NV        
 spindle                                  7040 216 N         
 intact                                   7041 1801 A         
 muscled                                  7042 479 V         
 marcel                                   7043 858 NV        
 threateningly                            7044 166 v         
 advise                                   7045 1195 V         
 stainless                                7046 396 NA        
 timepiece                                7047 93 N         
 christmas                                7048 7729 N         
 swiss                                    7049 1085 NA        
 redeem                                   7050 337 V         
 wryly                                    7051 441 v         
 speck                                    7052 643 NV        
 crossroads                               7053 491 N         
 village                                  7054 9733 N         
 adjacent                                 7055 795 A         
 picturesque                              7056 296 A         
 redolent                                 7057 105 A         
 venerable                                7058 289 A         
 whiskers                                 7059 623 NV        
 solemnly                                 7060 1104 v         
 explore                                  7061 1926 V         
 sense                                    7062 38307 NV        
 queried                                  7063 167 V         
 elbows                                   7064 2023 pV        
 pricked                                  7065 420 V         
 seashore                                 7066 124 N         
 quartet                                  7067 259 N         
 countenance                              7068 696 NV        
 gravely                                  7069 1088 v         
 quickest                                 7070 294 Av        
 resigned                                 7071 1126 V         
 magnificent                              7072 1929 A         
 awaited                                  7073 1221 VA        
 thunder                                  7074 3773 NV        
 squalls                                  7075 70 pV        
 ado                                      7076 123 N         
 invisible                                7077 5382 A         
 plodded                                  7078 283 V         
 foursome                                 7079 141 N         
 constantly                               7080 4748 v         
 streaming                                7081 1654 NVA       
 gale                                     7082 1323 N         
 heartsick                                7083 78 A         
 headfirst                                7084 296 Av        
 dizzy                                    7085 1612 VA        
 squeak                                   7086 745 NV        
 bootlace                                 7087 16 N         
 lagged                                   7088 208 V         
 exploring                                7089 1091 V         
 mingled                                  7090 877 V         
 hastening                                7091 147 V         
 stacked                                  7092 1655 VA        
 pyramid                                  7093 1300 NV        
 ignited                                  7094 534 VA        
 shavings                                 7095 155 p         
 spiraled                                 7096 374 V         
 warmth                                   7097 4347 N         
 penetrated                               7098 886 V         
 unabated                                 7099 118 A         
 blazed                                   7100 1106 V         
 resting                                  7101 3006 V         
 drowsily                                 7102 93 v         
 chatting                                 7103 850 V         
 decisively                               7104 366 v         
 paces                                    7105 2676 pV        
 pitfalls                                 7106 161 p         
 presumably                               7107 1929 v         
 passages                                 7108 1456 p         
 largest                                  7109 2815 A         
 discernible                              7110 339 A         
 imprint                                  7111 271 NV        
 boot                                     7112 2908 NV        
 coax                                     7113 263 NV        
 relying                                  7114 537 V         
 widely                                   7115 2341 v         
 crevices                                 7116 206 p         
 pit                                      7117 4094 NV        
 patience                                 7118 2927 N         
 scoured                                  7119 405 VA        
 stunt                                    7120 542 NV        
 bonfire                                  7121 469 N         
 woodpile                                 7122 118 N         
 bread                                    7123 5986 NV        
 sardines                                 7124 269 p         
 flared                                   7125 1807 V         
 methodically                             7126 412 v         
 pits                                     7127 733 pV        
 bonfires                                 7128 159 p         
 silhouette                               7129 822 NV        
 diligent                                 7130 333 A         
 buzzing                                  7131 1337 VA        
 aloft                                    7132 738 v         
 clapped                                  7133 1744 V         
 begged                                   7134 2404 V         
 exclamations                             7135 127 p         
 tattered                                 7136 1036 A         
 peep                                     7137 243 NV        
 cupboard                                 7138 1079 N         
 soap                                     7139 2092 NV        
 oblivious                                7140 1249 A         
 bugle                                    7141 152 NV        
 wilson                                   7142 1892 N         
 queens                                   7143 2483 NV        
 navy                                     7144 3987 N         
 saluted                                  7145 794 V         
 breach                                   7146 1169 NV        
 etiquette                                7147 423 N         
 smartly                                  7148 388 v         
 gratify                                  7149 95 V         
 immensely                                7150 913 v         
 indicating                               7151 1294 V         
 cruises                                  7152 78 pV        
 commander                                7153 5954 N         
 seas                                     7154 1486 p         
 destroyer                                7155 246 N         
 degrees                                  7156 2477 p         
 cactus                                   7157 356 N         
 quartermaster                            7158 174 N         
 bacon                                    7159 1475 N         
 englishman                               7160 809 N         
 marbles                                  7161 399 NV        
 adding                                   7162 2578 V         
 harmless                                 7163 1402 A         
 skillet                                  7164 264 N         
